3568,"Akim, the Soaring Wind",23002,,IKO,Masterpiece,TBD,,1,0,0,0,/static/build_finder/images/23002.png
3569,Alert Heedbonder,23003,,IKO,Uncommon,TBD,,1,0,0,0,/static/build_finder/images/23003.png
3570,Almighty Brushwagg,23004,,IKO,Common,TBD,,1,0,0,0,/static/build_finder/images/23004.png
3571,Archipelagore,23005,,IKO,Uncommon,TBD,,1,0,0,0,/static/build_finder/images/23005.png
3572,Auspicious Starrix,23006,,IKO,Mythic,TBD,,1,0,0,0,/static/build_finder/images/23006.png
3573,Avian Oddity,23007,,IKO,Uncommon,TBD,,1,0,0,0,/static/build_finder/images/23007.png
3574,Back for More,23008,,IKO,Uncommon,TBD,,1,0,0,0,/static/build_finder/images/23008.png
3575,Barrier Breach,23009,,IKO,Uncommon,TBD,,1,0,0,0,/static/build_finder/images/23009.png
3576,Bastion of Remembrance,23010,,IKO,Uncommon,TBD,,1,0,0,0,/static/build_finder/images/23010.png
3577,Blisterspit Gremlin,23011,,IKO,Common,TBD,,1,0,0,0,/static/build_finder/images/23011.png
3578,Blitz Leech,23012,,IKO,Common,TBD,,1,0,0,0,/static/build_finder/images/23012.png
3579,Blitz of the Thunder-Raptor,23013,,IKO,Uncommon,TBD,,1,0,0,0,/static/build_finder/images/23013.png
3580,Blood Curdle,23014,,IKO,Common,TBD,,1,0,0,0,/static/build_finder/images/23014.png
3581,Bonders' Enclave,23015,,IKO,Uncommon,TBD,,1,0,0,0,/static/build_finder/images/23015.png
3582,Boneyard Lurker,23016,,IKO,Uncommon,TBD,,1,0,0,0,/static/build_finder/images/23016.png
3583,Boneyard Mycodrax,23017,,IKO,Rare,TBD,,1,0,0,0,/static/build_finder/images/23017.png
3584,Boon of the Wish-Giver,23018,,IKO,Common,TBD,,1,0,0,0,/static/build_finder/images/23018.png
3585,Boot Nipper,23019,,IKO,Common,TBD,,1,0,0,0,/static/build_finder/images/23019.png
3586,"Brokkos, Apex of Forever",23020,,IKO,Mythic,TBD,,1,0,0,0,/static/build_finder/images/23020.png
3587,Bushmeat Poacher,23021,,IKO,Common,TBD,,1,0,0,0,/static/build_finder/images/23021.png
3588,Call of the Death-Dweller,23022,,IKO,Uncommon,TBD,,1,0,0,0,/static/build_finder/images/23022.png
3589,Call the Coppercoats,23023,,IKO,Rare,TBD,,1,0,0,0,/static/build_finder/images/23023.png
