,event,event_date,vote,player_name
0,HXB,2020-06-28,1,arklight
1,HXB,2020-06-28,1,abyssian
2,HXB,2020-06-28,1,edhmage
3,HXB,2020-06-28,1,yogsoth
4,HXB,2020-06-28,1,larz70
5,HXB,2020-06-28,1,lost4g
6,HXB,2020-06-28,1,ggbond
7,HXB,2020-06-28,1,magicninja1
8,HXB,2020-06-28,1,magesty
9,HXB,2020-06-28,1,zohair
10,HXB,2020-06-28,1,madwren
11,HXB,2020-06-28,1,valdahsor
12,HXB,2020-06-28,1,arrowny
13,HXB,2020-06-28,1,magegaga
14,HXB,2020-06-28,1,shteev
15,HXB,2020-06-28,1,europachaos
16,HXB,2020-06-28,1,zw2007
17,HXB,2020-06-28,1,zariath
18,HXB,2020-06-28,1,nickolas
19,HXB,2020-06-28,1,demonious
20,HXB,2020-06-28,1,mister20
21,HXB,2020-06-28,1,paleale
22,HXB,2020-06-28,1,analconda
23,HXB,2020-06-28,1,d3r3lict
24,HXB,2020-06-28,1,yaanchy
25,HXB,2020-06-28,1,lucian
26,HXB,2020-06-28,1,shrek
27,HXB,2020-06-28,1,marsdeon
28,HXB,2020-06-28,1,themorbo
29,HXB,2020-06-28,1,alfredseet
30,HXB,2020-06-28,1,shahper
31,HXB,2020-06-28,1,tāotiè
32,HXB,2020-06-28,1,bihotz
33,HXB,2020-06-28,1,operasm
34,HXB,2020-06-28,1,fartingsnail
35,HXB,2020-06-28,1,matthew
36,HXB,2020-06-28,2,skeletor
37,HXB,2020-06-28,2,rylenor
38,HXB,2020-06-28,2,metrognomy
39,HXB,2020-06-28,2,torbar
40,HXB,2020-06-28,2,mistercawck
41,HXB,2020-06-28,2,jimmysnuka
42,HXB,2020-06-28,2,digger
43,HXB,2020-06-28,2,lantore
44,HXB,2020-06-28,2,marshall
45,HXB,2020-06-28,2,twister
46,HXB,2020-06-28,3,imwithstupid
47,HXB,2020-06-28,3,khaalis
48,HXB,2020-06-28,3,jayariel
49,HXB,2020-06-28,3,huanchoo
50,HXB,2020-06-28,3,krizzb
51,HXB,2020-06-28,4,donthateme
52,HXB,2020-06-28,4,hueytw
53,HXB,2020-06-28,4,dediilus
54,HXB,2020-06-28,4,telanthar
55,HXB,2020-06-28,4,janjers
56,ROTGP,2020-06-23,1,oibaf2000
57,ROTGP,2020-06-23,1,yogsoth
58,ROTGP,2020-06-23,1,niigin
59,ROTGP,2020-06-23,1,mooninja
60,ROTGP,2020-06-23,1,omi77
61,ROTGP,2020-06-23,1,orion
62,ROTGP,2020-06-23,1,gideon
63,ROTGP,2020-06-23,1,edhmage
64,ROTGP,2020-06-23,1,nyarlathotep
65,ROTGP,2020-06-23,1,abyssian
66,ROTGP,2020-06-23,1,johnthebarn
67,ROTGP,2020-06-23,1,nickolas
68,ROTGP,2020-06-23,1,ggbond
69,ROTGP,2020-06-23,1,shteev
70,ROTGP,2020-06-23,1,vesticles
71,ROTGP,2020-06-23,1,larz70
72,ROTGP,2020-06-23,1,zariath
73,ROTGP,2020-06-23,1,zohair
74,ROTGP,2020-06-23,1,bihotz
75,ROTGP,2020-06-23,1,magicninja1
76,ROTGP,2020-06-23,1,madwren
77,ROTGP,2020-06-23,1,tāotiè
78,ROTGP,2020-06-23,1,lucian
79,ROTGP,2020-06-23,1,fartingsnail
80,ROTGP,2020-06-23,1,europachaos
81,ROTGP,2020-06-23,1,magegaga
82,ROTGP,2020-06-23,1,zw2007
83,ROTGP,2020-06-23,1,lost4g
84,ROTGP,2020-06-23,1,arrowny
85,ROTGP,2020-06-23,1,shrek
86,ROTGP,2020-06-23,1,d3r3lict
87,ROTGP,2020-06-23,1,themorbo
88,ROTGP,2020-06-23,1,alfredseet
89,ROTGP,2020-06-23,1,demonious
90,ROTGP,2020-06-23,1,janjers
91,ROTGP,2020-06-23,1,twister
92,ROTGP,2020-06-23,1,paleale
93,ROTGP,2020-06-23,1,marsdeon
94,ROTGP,2020-06-23,1,yaanchy
95,ROTGP,2020-06-23,1,valdahsor
96,ROTGP,2020-06-23,1,operasm
97,ROTGP,2020-06-23,1,matthew
98,ROTGP,2020-06-23,2,tamiyo
99,ROTGP,2020-06-23,2,jimmysnuka
100,ROTGP,2020-06-23,2,fatman
101,ROTGP,2020-06-23,2,magesty
102,ROTGP,2020-06-23,2,arklight
103,ROTGP,2020-06-23,2,skeletor
104,ROTGP,2020-06-23,2,metrognomy
105,ROTGP,2020-06-23,2,bridgerbill
106,ROTGP,2020-06-23,2,digger
107,ROTGP,2020-06-23,2,marshall
108,ROTGP,2020-06-23,2,telanthar
109,ROTGP,2020-06-23,2,analconda
110,ROTGP,2020-06-23,2,torbar
111,ROTGP,2020-06-23,2,mister20
112,ROTGP,2020-06-23,3,khaalis
113,ROTGP,2020-06-23,3,imwithstupid
114,ROTGP,2020-06-23,3,caddam
115,ROTGP,2020-06-23,3,powernic
116,ROTGP,2020-06-23,3,shahper
117,ROTGP,2020-06-23,3,rylenor
118,ROTGP,2020-06-23,3,jayariel
119,ROTGP,2020-06-23,3,krizzb
120,ROTGP,2020-06-23,4,greywolf
121,ROTGP,2020-06-23,4,donthateme
122,ROTGP,2020-06-23,4,dediilus
123,ROTGP,2020-06-23,4,hueytw
124,ROTGP,2020-06-23,6,first
125,RAW,2020-06-14,1,mooninja
126,RAW,2020-06-14,1,shteev
127,RAW,2020-06-14,1,oibaf2000
128,RAW,2020-06-14,1,arklight
129,RAW,2020-06-14,1,vesticles
130,RAW,2020-06-14,1,themorbo
131,RAW,2020-06-14,1,matthew
132,RAW,2020-06-14,1,ggbond
133,RAW,2020-06-14,1,johnthebarn
134,RAW,2020-06-14,1,zohair
135,RAW,2020-06-14,1,madwren
136,RAW,2020-06-14,1,yogsoth
137,RAW,2020-06-14,1,abyssian
138,RAW,2020-06-14,1,europachaos
139,RAW,2020-06-14,1,paleale
140,RAW,2020-06-14,1,larz70
141,RAW,2020-06-14,1,zw2007
142,RAW,2020-06-14,1,omi77
143,RAW,2020-06-14,1,nickolas
144,RAW,2020-06-14,1,mister20
145,RAW,2020-06-14,1,bihotz
146,RAW,2020-06-14,1,magesty
147,RAW,2020-06-14,1,edhmage
148,RAW,2020-06-14,1,powernic
149,RAW,2020-06-14,1,arrowny
150,RAW,2020-06-14,1,analconda
151,RAW,2020-06-14,1,shahper
152,RAW,2020-06-14,1,lucian
153,RAW,2020-06-14,1,nyarlathotep
154,RAW,2020-06-14,1,tāotiè
155,RAW,2020-06-14,1,gideon
156,RAW,2020-06-14,1,janjers
157,RAW,2020-06-14,1,yaanchy
158,RAW,2020-06-14,1,alfredseet
159,RAW,2020-06-14,1,zariath
160,RAW,2020-06-14,1,magegaga
161,RAW,2020-06-14,1,d3r3lict
162,RAW,2020-06-14,1,twister
163,RAW,2020-06-14,1,operasm
164,RAW,2020-06-14,1,magicninja1
165,RAW,2020-06-14,1,fartingsnail
166,RAW,2020-06-14,1,demonious
167,RAW,2020-06-14,1,valdahsor
168,RAW,2020-06-14,2,marsdeon
169,RAW,2020-06-14,2,skeletor
170,RAW,2020-06-14,2,tamiyo
171,RAW,2020-06-14,2,rylenor
172,RAW,2020-06-14,2,marshall
173,RAW,2020-06-14,2,fatman
174,RAW,2020-06-14,2,digger
175,RAW,2020-06-14,2,shrek
176,RAW,2020-06-14,2,bridgerbill
177,RAW,2020-06-14,2,jimmysnuka
178,RAW,2020-06-14,2,chronomor
179,RAW,2020-06-14,2,torbar
180,RAW,2020-06-14,2,mistercawck
181,RAW,2020-06-14,3,feitonghofei
182,RAW,2020-06-14,3,imwithstupid
183,RAW,2020-06-14,3,telanthar
184,RAW,2020-06-14,3,khaalis
185,RAW,2020-06-14,3,huanchoo
186,RAW,2020-06-14,3,nycfcbert
187,RAW,2020-06-14,3,pinkmafia
188,RAW,2020-06-14,3,jayariel
189,RAW,2020-06-14,4,greywolf
190,RAW,2020-06-14,4,hueytw
191,RAW,2020-06-14,4,dediilus
192,RAW,2020-06-14,4,krizzb
193,TTN,2020-06-07,1,orion
194,TTN,2020-06-07,1,johnthebarn
195,TTN,2020-06-07,1,shteev
196,TTN,2020-06-07,1,shahper
197,TTN,2020-06-07,1,magesty
198,TTN,2020-06-07,1,zw2007
199,TTN,2020-06-07,1,yogsoth
200,TTN,2020-06-07,1,themorbo
201,TTN,2020-06-07,1,zariath
202,TTN,2020-06-07,1,ggbond
