Event Name,ROTGP,Event Name,RaW,Event Name,TTN,Event Name,RtO,Event Name,HXB,Event Name,AM,Event Name,TTN,Event Name,Bo4T 2,Event Name,Bo4T 1,Event Name,ROTGP,Event Name,HoD,Event Name,RaW,Event Name,TTN,Event Name,RaW,Event Name,TDW,Event Name,TGT,Event Name,RaW,Event Name,TTN,Event Name,AWR,Event Name,AM,Event Name,RaW,Event Name,HoD,Event Name,RaW,Event Name,RtO,Event Name,TGT,Event Name,ROTGP,Event Name,TDW,Event Name,AWR,Event Name,TE,Event Name,TGT,Event Name,TDW,Event Name,HoD,Event Name,AWR,Event Name,RaW,Event Name,TDW,Event Name,RaW,Event Name,TE,Event Name,RtO,Event Name,RaW,Event Name,TDW,Event Name,ROTGP,Event Name,RtO,Event Name,RaW,Event Name,Bo4T 2,Event Name,Bo4T 1,Event Name,RaW,Event Name,AWR,Event Name,RaW,Event Name,TE,Event Name,TDW,Event Name,RaW,Event Name,RtO,Event Name,RaW,Event Name,Bo4T 2,Event Name,Bo4T 1,Event Name,HoD
Event Type,PVE-L,Event Type,PVP-S,Event Type,PVP-S,Event Type,PVP-L,Event Type,PVP-S,Event Type,PVE-L,Event Type,PVP-S,Event Type,PVE-L,Event Type,PVE-L,Event Type,PVE-L,Event Type,PVP-L,Event Type,PVP-S,Event Type,PVP-S,Event Type,PVP-S,Event Type,PVP-L,Event Type,PVP-S,Event Type,PVP-S,Event Type,PVP-S,Event Type,PVE-L,Event Type,PVE-L,Event Type,PVP-S,Event Type,PVP-L,Event Type,PVP-S,Event Type,PVP-L,Event Type,PVP-S,Event Type,PVE-L,Event Type,PVP-L,Event Type,PVE-L,Event Type,PVE-S,Event Type,PVP-S,Event Type,PVP-S,Event Type,PVE-S,Event Type,PVE-S,Event Type,PVP-S,Event Type,PVP-S,Event Type,PVP-S,Event Type,PVE-S,Event Type,PVP-S,Event Type,PVP-S,Event Type,PVP-S,Event Type,PVE-L,Event Type,PVP-S,Event Type,PVP-S,Event Type,PVE-S,Event Type,PVE-S,Event Type,PVP-S,Event Type,PVP-S,Event Type,PVP-S,Event Type,PVE-S,Event Type,PVP-S,Event Type,PVP-S,Event Type,PVP-S,Event Type,PVP-S,Event Type,PVE-S,Event Type,PVE-S,Event Type,PVP-L
Date,23.06.2020,Date,14.06.2020,Date,07.06.2020,Date,31.05.2020,Date,24.05.2020,Date,18.05.2020,Date,10.05.2020,Date,03.05.2020,Date,26.04.2020,Date,21.04.2020,Date,13.04.2020,Date,05.04.2020,Date,29.03.2020,Date,22.03.2020,Date,16.03.2020,Date,08.03.2020,Date,01.03.2020,Date,23.02.2020,Date,17.02.2020,Date,10.02.2020,Date,02.02.2020,Date,27.01.2020,Date,19.01.2020,Date,12.01.2020,Date,06.01.2020,Date,30.12.2019,Date,23.12.2019,Date,16.12.2019,Date,09.12.2019,Date,02.12.2019,Date,25.11.2019,Date,18.11.2019,Date,10.11.2019,Date,03.11.2019,Date,28.10.2019,Date,20.10.2019,Date,14.10.2019,Date,05.10.2019,Date,29.09.2019,Date,23.09.2019,Date,15.09.2019,Date,08.09.2019,Date,01.09.2019,Date,25.08.2019,Date,18.08.2019,Date,12.08.2019,Date,05.08.2019,Date,29.07.2019,Date,22.07.2019,Date,15.07.2019,Date,07.07.2019,Date,30.06.2019,Date,23.06.2019,Date,16.06.2019,Date,09.06.2019,Date,03.06.2019
Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score,Playername,relative score
EuropaChaos,1.0000,EuropaChaos,0.9583,EuropaChaos,1,analconda,0.9926,analconda,1,OperaSM,0.9989,Omi77,0.9429,Omi77,0.9683,Omi77,1,Omi77,0.911,Omi77,0.9817,Omi77,0.9583,Omi77,0.6786,Omi77,0.875,Omi77,0.9056,Omi77,0.9444,Omi77,0.85,Omi77,0.9571,Omi77,0.828,Omi77,0.9201,Omi77,0.9917,Omi77,0.8608,Omi77,0.9167,Omi77,0.9481,Omi77,0.8689,Omi77,0.9269,Omi77,0.913,Omi77,1,Chronomor,0.8587,Masaana,0.8889,Masaana,0.9556,Masaana,0.989,Masaana,1,Masaana,0.9875,Masaana,1,Masaana,0.9875,Masaana,0.963,AmoXJS,1,oikeus,0.875,Mister20,0.9963,Mister20,0.9085,Mister20,0.9667,Cadmium,1,MooNinja,1,KageTora,1,GGBond,1,AnoniK,1,Mister20,1,Mister20,0.8917,nezumi,0.9296,nezumi,1,analconda,0.9852,analconda,0.9042,Yogsoth,1,Yogsoth,0.9365,Yogsoth,0.9487
Twister,0.9041,Twister,0.9583,Twister,0.9571,Twister,0.9519,Twister,0.8071,Twister,0.9606,Twister,0.8857,Twister,0.946,Twister,0.946,Twister,0.9829,Twister,0.9158,Twister,0.8958,Twister,0.8714,Twister,0.85,Twister,0.9556,Twister,0.9644,Twister,0.8625,Twister,0.9286,Twister,0.988,Twister,0.8562,Twister,0.9292,Twister,0.9487,Twister,1,Twister,0.9444,Twister,0.9467,Powernic,1,Powernic,0.9852,Powernic,0.992,EuropaChaos,0.8922,D3r3lict,0.9267,D3r3lict,1,D3r3lict,0.9927,D3r3lict,1,D3r3lict,1,D3r3lict,0.9778,D3r3lict,0.9875,D3r3lict,0.9972,D3r3lict,0.9778,D3r3lict,0.875,D3r3lict,0.95,Omi77,0.9542,Omi77,0.8481,Omi77,0.9042,Mister20,1,Cadmium,0.9302,Cadmium,0.9917,AmoXJS,1,Yaanchy,0.9875,Yaanchy,0.8917,Yaanchy,0.9111,Yaanchy,0.9458,Yogsoth,0.9926,KageTora,0.9292,KageTora,1,KageTora,1,KageTora,0.9304
DoktorJadran,1.0000,DoktorJadran,0.8208,DoktorJadran,0.9857,DoktorJadran,0.8926,DoktorJadran,0.9286,DoktorJadran,0.9723,DoktorJadran,0.9286,DoktorJadran,1,DoktorJadran,0.9524,DoktorJadran,1,DoktorJadran,0.9451,DoktorJadran,0.9917,DoktorJadran,0.9143,DoktorJadran,0.8625,DoktorJadran,0.9556,DoktorJadran,0.8422,DoktorJadran,0.875,DoktorJadran,1,DoktorJadran,0.932,DoktorJadran,0.9148,DoktorJadran,0.8667,DoktorJadran,0.8205,DoktorJadran,0.9042,DoktorJadran,0.8407,DoktorJadran,0.9222,DoktorJadran,0.9577,DoktorJadran,0.9963,DoktorJadran,0.936,DoktorJadran,0.7323,DoktorJadran,0.6556,DoktorJadran,0.9074,DoktorJadran,0.9194,EDHmage,1,oibaf2000,0.975,oibaf2000,1,oibaf2000,0.9917,oibaf2000,0.8006,oibaf2000,0.8111,oibaf2000,0.7833,oibaf2000,0.863,oibaf2000,0.9683,oibaf2000,0.9037,oibaf2000,0.8417,oibaf2000,0.819,oibaf2000,1,OperaSM,0.9917,OperaSM,0.988,darkcanuck,0.8333,darkcanuck,0.943,Twister,0.8796,Twister,0.9583,Twister,0.9444,Scottisenses,0.9125,Scottisenses,1,Drogo10,1,efhktddyjkb,0.7546
Valdahsor,0.9863,Valdahsor,0.925,Valdahsor,1,Valdahsor,0.9111,Valdahsor,0.9286,Valdahsor,0.9925,Valdahsor,0.9286,Valdahsor,0.8349,Valdahsor,0.9905,Valdahsor,0.9247,Valdahsor,0.9817,Valdahsor,0.8833,Valdahsor,0.95,Valdahsor,0.95,Valdahsor,0.9222,Valdahsor,0.9778,Valdahsor,0.7375,Valdahsor,0.8571,Valdahsor,0.98,Valdahsor,0.853,Valdahsor,0.75,Valdahsor,0.8974,Valdahsor,0.9583,Valdahsor,0.9148,Valdahsor,0.9089,Valdahsor,0.9692,Valdahsor,0.9296,Arklight,1,Arklight,0.9294,Arklight,0.9622,Yogsoth,1,lost4g,0.967,Shrek,1,6DemonBag,0.9458,6DemonBag,0.9259,lost4g,1,lost4g,0.963,EDHmage,0.9852,AlfredSeet,0.8083,AlfredSeet,0.8944,ShadowSpace,0.9577,Shrek,0.937,Chronomor,0.8875,Scottisenses,1,Scottisenses,0.8952,Scottisenses,0.9875,Cerberus,1,Cerberus,0.9042,Cerberus,0.9516,Cerberus,0.9463,Cerberus,0.9833,Cerberus,0.8593,Cerberus,0.825,OperaSM,0.9365,OperaSM,1,Magegaga,0.9121
Matthew,1.0000,oibaf2000,0.8625,oibaf2000,0.9857,oibaf2000,0.9519,oibaf2000,0.95,oibaf2000,0.934,oibaf2000,1,oibaf2000,0.6794,oibaf2000,0.9905,oibaf2000,0.9589,oibaf2000,0.9158,oibaf2000,0.9167,oibaf2000,0.9786,oibaf2000,0.8375,oibaf2000,0.9556,oibaf2000,0.9822,oibaf2000,0.7958,oibaf2000,0.95,oibaf2000,0.94,oibaf2000,0.9116,oibaf2000,0.8917,oibaf2000,0.8278,oibaf2000,0.8208,oibaf2000,0.8667,oibaf2000,0.9556,oibaf2000,0.9846,oibaf2000,0.8944,oibaf2000,1,oibaf2000,0.7955,oibaf2000,0.8267,oibaf2000,0.7463,oibaf2000,0.967,Omi77,0.988,oikeus,1,Magegaga,0.9519,Magegaga,0.9583,Magegaga,0.8974,Magegaga,0.9926,Magegaga,0.875,Magegaga,0.9796,Magegaga,0.9331,Magegaga,0.9185,Magegaga,0.9167,Magegaga,0.9905,Yogsoth,1,D3r3lict,0.9875,hueyTW,0.988,Cadmium,1,Cadmium,0.8462,Scottisenses,0.9778,Mister20,0.9333,Mister20,0.9185,Mister20,0.9625,Mister20,1,TomteCat,0.9524,TomteCat,0.9487
fartingsnail,1.0000,fartingsnail,1,fartingsnail,0.9286,fartingsnail,1,fartingsnail,1,fartingsnail,1,fartingsnail,1,fartingsnail,1,fartingsnail,1,fartingsnail,1,fartingsnail,1,fartingsnail,1,fartingsnail,1,fartingsnail,0.9875,fartingsnail,1,fartingsnail,1,fartingsnail,0.9917,fartingsnail,1,fartingsnail,1,fartingsnail,1,fartingsnail,0.9917,fartingsnail,0.9487,fartingsnail,1,fartingsnail,1,fartingsnail,0.9333,fartingsnail,1,fartingsnail,0.9741,fartingsnail,1,fartingsnail,0.9926,fartingsnail,1,fartingsnail,1,fartingsnail,1,fartingsnail,1,fartingsnail,0.875,fartingsnail,1,fartingsnail,0.9917,fartingsnail,0.9972,fartingsnail,0.963,fartingsnail,0.9167,fartingsnail,0.9963,fartingsnail,0.9718,fartingsnail,1,fartingsnail,0.9375,fartingsnail,1,fartingsnail,1,fartingsnail,0.9667,fartingsnail,1,fartingsnail,1,fartingsnail,0.963,fartingsnail,0.9741,fartingsnail,1,fartingsnail,0.9111,fartingsnail,0.9792,fartingsnail,0.9905,fartingsnail,1,fartingsnail,0.9963
MooNinja,0.9863,Powernic,1,Powernic,1,Powernic,1,Powernic,1,Chronomor,0.9989,analconda,0.9857,analconda,0.9619,analconda,1,analconda,0.9692,analconda,0.9341,analconda,0.6375,analconda,0.9857,analconda,0.7667,analconda,0.9741,analconda,0.9733,Shrek,0.7333,Shrek,0.9857,Shrek,1,Shrek,0.9979,Shrek,0.9167,EuropaChaos,0.9158,EuropaChaos,0.8542,EuropaChaos,0.9667,EuropaChaos,0.8933,analconda,0.9962,analconda,0.9796,analconda,0.984,Xombiemike,0.829,Xombiemike,0.8,Xombiemike,0.8056,Scottisenses,0.8095,Scottisenses,1,Scottisenses,0.9583,Scottisenses,1,Scottisenses,0.875,Scottisenses,0.9202,Scottisenses,0.9926,Scottisenses,0.8625,Scottisenses,0.9278,Scottisenses,0.9718,Scottisenses,0.9259,Valdahsor,0.875,D3r3lict,0.981,Kyrle,0.9937,themuffinman,0.95,Shrek,0.84,Shrek,0.8542,Shrek,0.9231,Shrek,0.9111,Shrek,1,Shrek,0.963,Shrek,0.8167,Kauppila,0.9365,Cadmium,1,Cadmium,0.9927
