,inv,amt
0,0,28
1,1,28
2,2,33
3,3,24
4,4,26
5,5,28
6,6,31
7,7,27
8,8,27
9,9,33
10,10,31
11,11,25
12,12,25
13,13,30
14,14,37
15,15,31
16,16,35
17,17,24
18,18,26
19,19,27
20,20,34
21,21,36
22,22,36
23,23,31
24,24,24
25,25,29
26,26,24
27,27,35
28,28,28
29,29,27
30,30,26
31,31,23
32,32,36
33,33,27
34,34,23
35,35,29
36,36,26
37,37,29
38,38,23
39,39,28
40,40,20
41,41,34
42,42,33
43,43,39
44,44,32
45,45,30
46,46,31
47,47,25
48,48,21
49,49,36
50,50,35
51,51,31
52,52,28
53,53,37
54,54,27
55,55,30
56,56,30
57,57,30
58,58,37
59,59,26
60,60,26
61,61,28
62,62,30
63,63,28
64,64,31
65,65,28
66,66,18
67,67,21
68,68,25
69,69,15
70,70,12
71,71,16
72,72,24
73,73,21
74,74,29
75,75,20
76,76,19
77,77,26
78,78,26
79,79,20
80,80,23
81,81,25
82,82,22
83,83,21
84,84,25
85,85,22
86,86,23
87,87,28
88,88,23
89,89,21
90,90,19
91,91,31
92,92,16
93,93,28
94,94,22
95,95,23
96,96,33
97,97,18
98,98,18
99,99,33
100,100,30
101,101,18
102,102,25
103,103,31
104,104,28
105,105,22
106,106,20
107,107,26
108,108,21
109,109,21
110,110,22
111,111,19
112,112,25
113,113,19
114,114,21
115,115,23
116,116,26
117,117,25
118,118,21
119,119,17
120,120,30
121,121,18
122,122,25
123,123,25
124,124,28
125,125,0
126,126,0
127,127,0
128,128,0
129,129,5
130,130,7
131,131,11
132,132,0
133,133,5
134,134,0
135,135,6
136,136,0
137,137,7
138,138,7
139,139,5
140,140,8
141,141,11
142,142,0
143,143,11
144,144,9
145,145,5
146,146,13
147,147,9
148,148,11
149,149,13
150,150,11
151,151,5
152,152,0
153,153,3
154,154,10
155,155,10
156,156,7
157,157,5
158,158,7
159,159,0
160,160,9
161,161,7
162,162,5
163,163,6
164,164,0
165,165,8
166,166,0
167,167,9
168,168,0
169,169,7
170,170,0
171,171,0
172,172,12
173,173,0
174,174,0
175,175,4
176,176,8
177,177,0
178,178,10
179,179,12
180,180,10
181,181,10
182,182,6
183,183,1
184,184,0
185,185,3
186,186,3
187,187,1
188,188,3
189,189,6
190,190,0
191,191,3
192,192,1
193,193,2
194,194,2
195,195,4
196,196,2
197,197,0
198,198,0
199,199,2
200,200,1
201,201,1
202,202,0
203,203,0
204,204,0
205,205,1
206,206,0
207,207,1
208,208,0
209,209,2
210,210,2
211,211,2
212,212,0
213,213,2
214,214,2
215,215,3
216,216,4
217,217,0
218,218,0
219,219,0
220,220,0
221,221,0
222,222,0
223,223,0
224,224,0
225,225,1
226,226,1
227,227,0
228,228,0
229,229,0
230,230,0
231,231,1
232,232,0
233,233,45120
234,234,141
