,inv,amt
0,0,1
1,1,3
2,2,2
3,3,2
4,4,7
5,5,1
6,6,0
7,7,3
8,8,2
9,9,1
10,10,3
11,11,3
12,12,3
13,13,3
14,14,4
15,15,0
16,16,3
17,17,1
18,18,5
19,19,2
20,20,3
21,21,3
22,22,1
23,23,1
24,24,0
25,25,3
26,26,2
27,27,6
28,28,1
29,29,2
30,30,4
31,31,4
32,32,1
33,33,1
34,34,3
35,35,4
36,36,2
37,37,4
38,38,2
39,39,3
40,40,4
41,41,1
42,42,3
43,43,0
44,44,1
45,45,2
46,46,5
47,47,1
48,48,1
49,49,2
50,50,3
51,51,2
52,52,2
53,53,2
54,54,2
55,55,2
56,56,3
57,57,1
58,58,1
59,59,4
60,60,2
61,61,4
62,62,1
63,63,0
64,64,3
65,65,2
66,66,0
67,67,0
68,68,3
69,69,0
70,70,3
71,71,1
72,72,3
73,73,3
74,74,1
75,75,1
76,76,2
77,77,2
78,78,0
79,79,0
80,80,3
81,81,2
82,82,1
83,83,0
84,84,1
85,85,1
86,86,2
87,87,2
88,88,3
89,89,1
90,90,0
91,91,2
92,92,2
93,93,1
94,94,2
95,95,3
96,96,1
97,97,4
98,98,0
99,99,0
100,100,5
101,101,1
102,102,2
103,103,5
104,104,2
105,105,0
106,106,0
107,107,1
108,108,1
109,109,1
110,110,3
111,111,0
112,112,0
113,113,2
114,114,1
115,115,0
116,116,1
117,117,1
118,118,2
119,119,1
120,120,2
121,121,0
122,122,1
123,123,1
124,124,3
125,125,0
126,126,0
127,127,0
128,128,0
129,129,0
130,130,0
131,131,0
132,132,0
133,133,1
134,134,0
135,135,0
136,136,0
137,137,0
138,138,2
139,139,3
140,140,1
141,141,0
142,142,0
143,143,3
144,144,0
145,145,0
146,146,0
147,147,0
148,148,1
149,149,0
150,150,1
151,151,1
152,152,0
153,153,1
154,154,0
155,155,0
156,156,1
157,157,0
158,158,0
159,159,0
160,160,0
161,161,0
162,162,1
163,163,0
164,164,0
165,165,0
166,166,0
167,167,1
168,168,0
169,169,0
170,170,0
171,171,0
172,172,0
173,173,0
174,174,0
175,175,2
176,176,0
177,177,0
178,178,0
179,179,0
180,180,0
181,181,0
182,182,0
183,183,0
184,184,0
185,185,1
186,186,0
187,187,0
188,188,0
189,189,0
190,190,0
191,191,0
192,192,0
193,193,0
194,194,0
195,195,0
196,196,0
197,197,0
198,198,0
199,199,0
200,200,0
201,201,0
202,202,0
203,203,0
204,204,0
205,205,0
206,206,0
207,207,0
208,208,0
209,209,0
210,210,1
211,211,0
212,212,0
213,213,0
214,214,0
215,215,0
216,216,0
217,217,0
218,218,0
219,219,0
220,220,0
221,221,0
222,222,0
223,223,0
224,224,0
225,225,0
226,226,0
227,227,0
228,228,0
229,229,0
230,230,0
231,231,0
232,232,0
233,233,3200
234,234,10
