,inv,amt
0,0,10
1,1,14
2,2,18
3,3,16
4,4,18
5,5,7
6,6,15
7,7,15
8,8,10
9,9,11
10,10,8
11,11,11
12,12,10
13,13,14
14,14,11
15,15,9
16,16,11
17,17,14
18,18,12
19,19,6
20,20,13
21,21,8
22,22,10
23,23,14
24,24,9
25,25,11
26,26,11
27,27,12
28,28,13
29,29,8
30,30,20
31,31,7
32,32,14
33,33,9
34,34,6
35,35,11
36,36,7
37,37,15
38,38,16
39,39,13
40,40,13
41,41,15
42,42,12
43,43,9
44,44,12
45,45,9
46,46,11
47,47,7
48,48,13
49,49,12
50,50,7
51,51,11
52,52,9
53,53,12
54,54,11
55,55,12
56,56,13
57,57,10
58,58,17
59,59,14
60,60,10
61,61,10
62,62,11
63,63,17
64,64,9
65,65,6
66,66,9
67,67,10
68,68,9
69,69,12
70,70,5
71,71,8
72,72,12
73,73,9
74,74,7
75,75,7
76,76,9
77,77,9
78,78,9
79,79,13
80,80,15
81,81,5
82,82,15
83,83,4
84,84,11
85,85,7
86,86,13
87,87,13
88,88,6
89,89,6
90,90,9
91,91,6
92,92,6
93,93,12
94,94,10
95,95,11
96,96,12
97,97,10
98,98,4
99,99,7
100,100,12
101,101,5
102,102,12
103,103,13
104,104,10
105,105,8
106,106,6
107,107,10
108,108,11
109,109,11
110,110,12
111,111,6
112,112,10
113,113,10
114,114,12
115,115,8
116,116,11
117,117,8
118,118,4
119,119,6
120,120,8
121,121,12
122,122,10
123,123,11
124,124,10
125,125,0
126,126,0
127,127,0
128,128,0
129,129,3
130,130,2
131,131,3
132,132,0
133,133,1
134,134,0
135,135,5
136,136,0
137,137,3
138,138,2
139,139,4
140,140,3
141,141,2
142,142,0
143,143,1
144,144,3
145,145,4
146,146,3
147,147,2
148,148,3
149,149,1
150,150,5
151,151,5
152,152,0
153,153,4
154,154,3
155,155,1
156,156,4
157,157,4
158,158,9
159,159,0
160,160,2
161,161,2
162,162,4
163,163,2
164,164,0
165,165,7
166,166,0
167,167,1
168,168,0
169,169,1
170,170,0
171,171,0
172,172,3
173,173,0
174,174,0
175,175,4
176,176,6
177,177,0
178,178,3
179,179,5
180,180,2
181,181,6
182,182,3
183,183,0
184,184,0
185,185,0
186,186,1
187,187,2
188,188,0
189,189,0
190,190,0
191,191,0
192,192,0
193,193,0
194,194,2
195,195,2
196,196,0
197,197,1
198,198,1
199,199,0
200,200,0
201,201,0
202,202,0
203,203,0
204,204,1
205,205,1
206,206,0
207,207,1
208,208,0
209,209,1
210,210,1
211,211,0
212,212,0
213,213,0
214,214,0
215,215,0
216,216,2
217,217,0
218,218,0
219,219,0
220,220,0
221,221,0
222,222,0
223,223,0
224,224,0
225,225,0
226,226,0
227,227,0
228,228,1
229,229,1
230,230,0
231,231,0
232,232,0
233,233,17920
234,234,56
