,inv,amt
0,0,1
1,1,0
2,2,4
3,3,2
4,4,2
5,5,3
6,6,4
7,7,3
8,8,4
9,9,3
10,10,4
11,11,1
12,12,3
13,13,2
14,14,3
15,15,0
16,16,7
17,17,2
18,18,1
19,19,3
20,20,1
21,21,5
22,22,3
23,23,3
24,24,3
25,25,1
26,26,3
27,27,1
28,28,2
29,29,4
30,30,2
31,31,2
32,32,2
33,33,0
34,34,1
35,35,1
36,36,3
37,37,0
38,38,2
39,39,2
40,40,5
41,41,3
42,42,2
43,43,2
44,44,2
45,45,2
46,46,2
47,47,2
48,48,3
49,49,2
50,50,2
51,51,1
52,52,1
53,53,1
54,54,3
55,55,1
56,56,0
57,57,1
58,58,2
59,59,2
60,60,2
61,61,0
62,62,4
63,63,2
64,64,1
65,65,2
66,66,2
67,67,2
68,68,1
69,69,3
70,70,0
71,71,0
72,72,1
73,73,0
74,74,1
75,75,2
76,76,0
77,77,0
78,78,4
79,79,0
80,80,2
81,81,2
82,82,3
83,83,1
84,84,2
85,85,3
86,86,1
87,87,0
88,88,1
89,89,1
90,90,1
91,91,1
92,92,2
93,93,0
94,94,0
95,95,2
96,96,2
97,97,2
98,98,2
99,99,0
100,100,1
101,101,2
102,102,3
103,103,3
104,104,0
105,105,2
106,106,0
107,107,0
108,108,3
109,109,0
110,110,2
111,111,1
112,112,4
113,113,2
114,114,0
115,115,1
116,116,1
117,117,3
118,118,1
119,119,4
120,120,1
121,121,4
122,122,1
123,123,1
124,124,4
125,125,0
126,126,0
127,127,0
128,128,0
129,129,0
130,130,1
131,131,0
132,132,0
133,133,1
134,134,0
135,135,1
136,136,0
137,137,0
138,138,0
139,139,0
140,140,0
141,141,0
142,142,0
143,143,3
144,144,0
145,145,3
146,146,1
147,147,1
148,148,0
149,149,0
150,150,3
151,151,1
152,152,0
153,153,1
154,154,0
155,155,0
156,156,1
157,157,0
158,158,0
159,159,0
160,160,0
161,161,1
162,162,1
163,163,0
164,164,0
165,165,1
166,166,0
167,167,0
168,168,0
169,169,1
170,170,0
171,171,0
172,172,1
173,173,0
174,174,0
175,175,0
176,176,2
177,177,0
178,178,0
179,179,1
180,180,0
181,181,2
182,182,0
183,183,0
184,184,0
185,185,0
186,186,0
187,187,0
188,188,0
189,189,0
190,190,0
191,191,0
192,192,0
193,193,0
194,194,0
195,195,0
196,196,0
197,197,0
198,198,0
199,199,0
200,200,0
201,201,0
202,202,0
203,203,0
204,204,0
205,205,0
206,206,0
207,207,0
208,208,0
209,209,1
210,210,0
211,211,0
212,212,0
213,213,0
214,214,0
215,215,0
216,216,0
217,217,0
218,218,0
219,219,0
220,220,0
221,221,0
222,222,1
223,223,0
224,224,0
225,225,0
226,226,0
227,227,0
228,228,0
229,229,0
230,230,0
231,231,0
232,232,0
233,233,3200
234,234,10
