,player_name,event,event_type,event_date,score
0,europachaos,HXB,PVP-S,2020-06-28,0.9071
1,twister,HXB,PVP-S,2020-06-28,0.9
2,doktorjadran,HXB,PVP-S,2020-06-28,0.7714
3,valdahsor,HXB,PVP-S,2020-06-28,0.8571
4,lost4g,HXB,PVP-S,2020-06-28,1.0
5,fartingsnail,HXB,PVP-S,2020-06-28,1.0
6,powernic,HXB,PVP-S,2020-06-28,1.0
7,lucian,HXB,PVP-S,2020-06-28,1.0
8,zohair,HXB,PVP-S,2020-06-28,1.0
9,oibaf2000,HXB,PVP-S,2020-06-28,0.9214
10,omi77,HXB,PVP-S,2020-06-28,0.9143
11,analconda,HXB,PVP-S,2020-06-28,1.0
12,arrowny,HXB,PVP-S,2020-06-28,0.8571
13,edhmage,HXB,PVP-S,2020-06-28,0.9143
14,paleale,HXB,PVP-S,2020-06-28,0.8571
15,arklight,HXB,PVP-S,2020-06-28,0.9857
16,mister20,HXB,PVP-S,2020-06-28,0.9286
17,yogsoth,HXB,PVP-S,2020-06-28,1.0
18,abyssian,HXB,PVP-S,2020-06-28,0.9714
19,alfredseet,HXB,PVP-S,2020-06-28,1.0
20,chronomor,HXB,PVP-S,2020-06-28,0.9143
21,torbar,HXB,PVP-S,2020-06-28,0.8214
22,marshall,HXB,PVP-S,2020-06-28,0.9071
23,vesticles,HXB,PVP-S,2020-06-28,0.6214
24,magesty,HXB,PVP-S,2020-06-28,0.8857
25,morlock,HXB,PVP-S,2020-06-28,0.7571
26,metrognomy,HXB,PVP-S,2020-06-28,0.9143
27,bihotz,HXB,PVP-S,2020-06-28,0.8857
28,fatman,HXB,PVP-S,2020-06-28,1.0
29,skeletor,HXB,PVP-S,2020-06-28,0.6143
30,pinkyellow1203,HXB,PVP-S,2020-06-28,0.9786
31,jimmysnuka,HXB,PVP-S,2020-06-28,0.9286
32,shrek,HXB,PVP-S,2020-06-28,0.8571
33,tamiyo,HXB,PVP-S,2020-06-28,0.9857
34,johnthebarn,HXB,PVP-S,2020-06-28,0.85
35,digger,HXB,PVP-S,2020-06-28,0.6357
36,janjers,HXB,PVP-S,2020-06-28,0.5214
37,mooninja,HXB,PVP-S,2020-06-28,0.8357
38,mistercawck,HXB,PVP-S,2020-06-28,0.7143
39,guest,HXB,PVP-S,2020-06-28,0.9357
40,schmara,HXB,PVP-S,2020-06-28,0.0
41,decadentia,HXB,PVP-S,2020-06-28,0.0
42,jeffrey27,HXB,PVP-S,2020-06-28,0.0
43,multani,HXB,PVP-S,2020-06-28,0.0
44,muirthemne,HXB,PVP-S,2020-06-28,0.0
45,quiddajj,HXB,PVP-S,2020-06-28,0.0
46,kelsigrammar,HXB,PVP-S,2020-06-28,0.6
47,patricio,HXB,PVP-S,2020-06-28,0.0
48,ralpha,HXB,PVP-S,2020-06-28,0.0
49,skills,HXB,PVP-S,2020-06-28,0.0
60,huanchoo,HXB,PVP-S,2020-06-28,0.9714
61,khaalis,HXB,PVP-S,2020-06-28,0.9
